census_tract_GEOID,total-households,total-renter-occupied-households,total-owner-occupied-households,total-owner-occupied-households-mortgage,median-gross-rent,median-household-income,median-property-value,median-monthly-housing-cost,pct-white,pct-af-am,pct-hispanic,pct-am-indian,pct-asian,pct-nh-pi,pct-multiple,pct-other,pct-below-poverty-level,households-children,single-parent-household,older-adult-alone,level-of-education,immigrant-status,english-fluency,drive-to-work,public-transport-to-work,vacant-properties,live-in-mobile-home,pct-renter-occupied,pct-owner-occupied,pct-owner-occupied-mortgage,pct-owner-occupied-without-mortgage,median-house-age,pct-non-white,pct-without-health-insurance,total-evictions,avg-evictions,total-foreclosure-sales,avg-foreclosure-sales,total-lien-foreclosures,avg-lien-foreclosures,total-evictions-2017,eviction-filings-2017,eviction-rate-2017,total-evictions-2018,eviction-filings-2018,eviction-rate-2018,total-evictions-2019,eviction-filings-2019,eviction-rate-2019,foreclosure-sales-2017,foreclosure-sales-2018,foreclosure-sales-2019,lien-foreclosures-2017,lien-foreclosures-2018,lien-foreclosures-2019,avg-foreclosure-rate,foreclosure-rate-2017,foreclosure-rate-2018,foreclosure-rate-2019,avg-lien-foreclosure-rate,lien-foreclosure-rate-2017,lien-foreclosure-rate-2018,lien-foreclosure-rate-2019,avg-eviction-rate,ratio-to-mean-foreclosure-rate,ratio-to-mean-eviction-rate,avg-housing-loss-rate,evictions-pct-total-housing-loss,housing-loss-index,county_GEOID,county,state
12095016602,3357,651,2706,1967,1214,67554,263900,1576,2764,223,721,28,146,0,96,100,-888888888,618,55,318,630,1002,7269,4087,0,437,656,19.3923145665773,80.60768543342269,58.59398272266905,22.01370271075365,24,-2664,8.055189205640662,83.526315712,27.84210523733333,58.0,19.333333333333332,89.0,29.666666666666668,33.138157864,73.0,0.45394736799999996,25.421052607999997,56.0,0.45394736799999996,24.96710524,55.0,0.45394736799999996,34.0,8.0,16.0,15.0,8.0,66.0,0.9828842569056091,1.728520589730554,0.4067107269954245,0.813421453990849,1.096329145109633,0.5543237250554324,0.29563932002956395,2.4390243902439024,4.276821081003583,0.699431757634092,1.349616907310932,1.8019648040743568,0.5901822236507059,0.7653598387257864,12095,Orange County,Florida
12095015902,993,553,440,266,855,56932,338100,1625,872,72,184,0,0,0,16,33,-888888888,61,76,311,69,71,1491,731,0,165,11,55.68982880161128,44.31017119838872,26.78751258811682,17.522658610271904,56,-772,6.890561667631731,12.592592600000001,4.197530866666667,12.0,4.0,3.0,1.5,1.25925926,2.0,0.62962963,5.666666670000001,9.0,0.62962963,5.666666670000001,9.0,0.62962963,4.0,5.0,3.0,1.0,2.0,0.0,1.5037593984962405,1.5037593984962405,1.8796992481203008,1.1278195488721803,0.3409090909090909,0.22727272727272727,0.45454545454545453,0.0,0.7590471729957806,1.0700925075962608,0.2395290517697514,1.00091951973952,0.5120481929180577,0.42512683958821623,12095,Orange County,Florida
12095016407,2172,1701,471,286,1197,35095,163600,1373,1374,313,732,67,180,0,103,135,-888888888,83,14,183,1593,343,3186,2343,183,558,93,78.31491712707182,21.685082872928177,13.167587476979742,8.517495395948435,35,-1274,22.389983428466213,162.57777764000002,54.192592546666674,26.0,8.666666666666666,14.0,4.666666666666667,53.493333288,102.0,0.524444444,53.493333288,102.0,0.524444444,55.591111064,106.0,0.524444444,13.0,8.0,5.0,9.0,4.0,1.0,3.03030303030303,4.545454545454546,2.797202797202797,1.7482517482517483,0.9907997169143666,1.910828025477707,0.8492569002123143,0.21231422505307856,3.185925487752303,2.156398538034889,1.0053679642577813,3.163525878879383,0.8621258542476056,1.3436642330579425,12095,Orange County,Florida
12095016507,2072,525,1547,1162,1791,98750,251900,1511,1838,119,447,0,55,0,44,16,-888888888,442,20,133,13920,693,15692,3483,10,198,77,25.33783783783784,74.66216216216216,56.08108108108109,18.58108108108108,22,-1738,2.5208784410763996,26.230769226,8.743589742,29.0,9.666666666666666,1.0,1.0,8.46153846,20.0,0.423076923,5.923076922,14.0,0.423076923,11.846153844,28.0,0.423076923,12.0,9.0,8.0,0.0,1.0,0.0,0.831899024670109,1.0327022375215147,0.774526678141136,0.6884681583476765,0.06464124111182934,0.0,0.06464124111182934,0.0,1.6654456651428569,0.5919889273951202,0.5255570867502973,1.0913015061450304,0.47493036207165135,0.46351534883247514,12095,Orange County,Florida
12095017501,4829,1110,3719,2950,1086,62167,252200,1705,2241,1982,615,24,201,0,41,340,-888888888,1150,71,431,1183,1679,10954,5354,0,427,752,22.986125491820253,77.01387450817975,61.08925243321599,15.924622074963759,17,-2141,11.370107939871533,144.69230770399997,48.23076923466666,127.0,42.333333333333336,62.0,20.666666666666668,40.252747256,74.0,0.543956044,46.23626374,85.0,0.543956044,58.203296707999996,107.0,0.543956044,43.0,42.0,42.0,30.0,24.0,8.0,1.4350282485875707,1.4576271186440677,1.423728813559322,1.423728813559322,0.5557049386035673,0.8066684592632428,0.6453347674105943,0.21511158913686476,4.345114345465465,1.0211826297066917,1.3711679010578073,2.2306429203940885,0.5325594564187573,0.9474349898219147,12095,Orange County,Florida
12095017703,1579,586,993,784,1034,42556,145000,1129,1046,215,801,0,7,0,49,262,-888888888,233,16,274,288,548,2301,1795,16,122,77,37.112096263457886,62.887903736542114,49.65167827739075,13.236225459151363,39,-946,30.78936770036246,41.599999999999994,13.866666666666665,37.0,12.333333333333334,16.0,5.333333333333333,13.44,21.0,0.64,16.0,25.0,0.64,12.16,19.0,0.64,20.0,9.0,8.0,1.0,12.0,3.0,1.5731292517006803,2.5510204081632653,1.1479591836734695,1.0204081632653061,0.5370929842228935,0.10070493454179255,1.2084592145015105,0.3021148036253776,2.366325369738339,1.119456894107398,0.7467304960179088,1.9124087591240877,0.5292620865139949,0.8122693940256311,12095,Orange County,Florida
12095012100,2448,1643,805,517,920,36199,79100,1083,431,1791,325,5,46,0,56,119,-888888888,445,200,350,619,776,4498,2672,347,145,0,67.11601307189542,32.88398692810458,21.119281045751634,11.76470588235294,50,-331,22.881463600559012,191.08141600799996,63.69380533599999,64.0,21.333333333333332,31.0,10.333333333333334,55.10973453599999,107.0,0.5150442479999999,63.86548675199999,124.0,0.5150442479999999,72.10619471999999,140.0,0.5150442479999999,30.0,21.0,13.0,15.0,4.0,12.0,4.126370083816893,5.802707930367505,4.061895551257253,2.5145067698259185,1.2836438923395446,1.8633540372670807,0.4968944099378882,1.4906832298136645,3.8766771354838707,2.9363724773241047,1.223345308849585,3.936441605061728,0.7490997149004661,1.6719495881336863,12095,Orange County,Florida
12095013300,2560,1376,1184,823,966,43149,230400,1260,2215,180,1387,0,11,17,58,79,-888888888,247,67,376,265,844,3101,2902,233,364,0,53.75,46.25,32.1484375,14.1015625,51,-2115,20.556683096549726,33.333333304,11.111111101333334,49.0,16.333333333333332,16.0,5.333333333333333,11.274509794,23.0,0.490196078,13.725490184,28.0,0.490196078,8.333333326,17.0,0.490196078,14.0,12.0,23.0,7.0,7.0,2.0,1.9846091535034427,1.701093560145808,1.4580801944106925,2.7946537059538272,0.45045045045045046,0.5912162162162162,0.5912162162162162,0.16891891891891891,0.8074935393410853,1.4122707314712093,0.25481705046762065,1.248042038866151,0.40485829938310747,0.5300887405957254,12095,Orange County,Florida
12095013505,1955,1035,920,494,1055,46563,155400,1181,1762,117,1164,0,37,0,10,29,-888888888,163,177,299,298,535,1621,1890,68,219,64,52.94117647058824,47.05882352941176,25.268542199488493,21.790281329923275,33,-1662,14.049755301794454,65.44785272099999,21.815950906999998,20.0,6.666666666666667,11.0,3.6666666666666665,19.582822074,38.0,0.515337423,16.490797536,32.0,0.515337423,29.374233111,57.0,0.515337423,9.0,8.0,3.0,6.0,1.0,4.0,1.349527665317139,1.8218623481781375,1.6194331983805668,0.6072874493927125,0.39855072463768115,0.6521739130434783,0.10869565217391304,0.43478260869565216,2.1078213436714974,0.9603394298940803,0.6651555604337698,1.862826525419664,0.7659391153420438,0.7912100202210605,12095,Orange County,Florida
12095014100,2562,426,2136,1230,1000,82772,317800,1887,2303,48,402,0,37,0,43,131,-888888888,467,86,241,420,536,5183,2491,39,332,0,16.627634660421545,83.37236533957847,48.00936768149883,35.36299765807963,47,-2203,7.517150780907897,12.76,4.253333333333333,32.0,10.666666666666666,7.0,3.5,6.959999999999999,12.0,0.58,4.06,7.0,0.58,1.7399999999999998,3.0,0.58,12.0,12.0,8.0,0.0,1.0,6.0,0.8672086720867209,0.975609756097561,0.975609756097561,0.6504065040650406,0.16385767790262173,0.0,0.04681647940074907,0.2808988764044944,0.9984350547730829,0.6171156791774642,0.31507159295461307,0.9009661835748792,0.28507596067917784,0.38267303079344855,12095,Orange County,Florida
