census_tract_GEOID,total-households,total-renter-occupied-households,total-owner-occupied-households,total-owner-occupied-households-mortgage,median-gross-rent,median-household-income,median-property-value,median-monthly-housing-cost,pct-white,pct-af-am,pct-hispanic,pct-am-indian,pct-asian,pct-nh-pi,pct-multiple,pct-other,pct-below-poverty-level,households-children,single-parent-household,older-adult-alone,level-of-education,immigrant-status,english-fluency,drive-to-work,public-transport-to-work,vacant-properties,live-in-mobile-home,pct-renter-occupied,pct-owner-occupied,pct-owner-occupied-mortgage,pct-owner-occupied-without-mortgage,median-house-age,pct-non-white,pct-without-health-insurance,total-evictions,avg-evictions,total-foreclosure-sales,avg-foreclosure-sales,total-lien-foreclosures,avg-lien-foreclosures,avg-foreclosure-rate,avg-lien-foreclosure-rate,avg-eviction-rate,ratio-to-mean-foreclosure-rate,ratio-to-mean-eviction-rate,avg-housing-loss-rate,evictions-pct-total-housing-loss,housing-loss-index,county_GEOID,county,state
12057000401,926,338,588,432,1055,48426,148200,1172,669,155,207,0,15,27,52,8,-888888888,124,21,172,137,78,1805,996,106,48,20,36.50107991360691,63.498920086393085,46.65226781857452,16.846652267818573,55,-569,12.961567445365484,49.47979796999999,16.493265989999998,6.0,2.0,,,0.4629629629629629,,4.87966449408284,0.6559934479293107,2.1541304562041907,2.4017228558441555,0.8918525261529534,1.5832223078135166,12057,Hillsborough County,Florida
12057010105,1496,381,1115,653,879,53860,232000,1549,1431,8,242,18,15,0,0,24,-888888888,325,19,206,143,322,3130,1414,0,146,658,25.467914438502675,74.53208556149733,43.64973262032086,30.88235294117647,33,-1331,13.40549542048293,18.428571447000003,6.142857149000001,14.0,4.666666666666667,1.0,1.0,0.7146503318019398,0.0896860986547085,1.612298464304462,1.0126208200807738,0.7117500046695886,1.0454084928110898,0.5682819385713287,0.6891361518123562,12057,Hillsborough County,Florida
12057010203,766,395,371,197,846,39018,96500,1155,524,212,54,4,14,0,12,0,-888888888,40,28,115,46,49,1674,701,7,126,229,51.56657963446475,48.43342036553525,25.718015665796344,22.715404699738905,42,-424,22.6984126984127,60.202531672000006,20.067510557333332,12.0,4.0,2.0,1.0,2.030456852791878,0.2695417789757413,5.08038241957806,2.8770474061468247,2.2427374899335955,4.065457864414414,0.8338008415755652,2.6799609983119788,12057,Hillsborough County,Florida
12057010600,1108,354,754,481,1095,80600,234300,1584,817,225,186,18,0,0,39,9,-888888888,244,19,136,133,321,2342,1285,24,110,0,31.949458483754512,68.05054151624549,43.4115523465704,24.63898916967509,59,-717,9.465020576131687,106.239999936,35.413333312,8.0,2.6666666666666665,,,0.5544005544005544,,10.003766472316384,0.7855555634247048,4.416167968290085,4.560479039361278,0.9299719887562868,3.006280317424453,12057,Hillsborough County,Florida
12057002300,1419,599,820,592,1138,62636,212600,1400,1159,184,179,0,11,0,36,29,-888888888,213,46,223,209,159,2794,1450,30,124,34,42.21282593375616,57.78717406624383,41.71952078928823,16.0676532769556,72,-1059,10.792476102374344,17.297297312,5.765765770666667,13.0,4.333333333333333,1.0,1.0,0.7319819819819819,0.1219512195121951,0.9625652371730664,1.0371788298341804,0.424924929980793,0.8479512261964737,0.5709188226881536,0.5589717789400073,12057,Hillsborough County,Florida
12057004900,2243,1610,633,474,1416,64832,276200,1452,1709,349,283,0,76,0,86,23,-888888888,133,30,385,832,115,3960,2823,110,494,15,71.77886758805172,28.22113241194829,21.13241194828355,7.088720463664735,23,-1609,12.153209109730849,37.801980235,12.600660078333334,12.0,4.0,2.0,1.0,0.8438818565400843,0.1579778830963665,0.7826496943064183,1.1957348924281106,0.3455011189988043,0.7965767791906591,0.7590457258250426,0.5251056022688441,12057,Hillsborough County,Florida
12057010402,2360,1542,818,612,958,38197,140100,1165,1124,1095,546,25,76,0,18,22,-888888888,444,71,425,329,824,4077,2386,150,299,169,65.33898305084746,34.66101694915254,25.932203389830512,8.728813559322033,34,-1024,21.258696003882868,203.008264504,67.66942150133333,18.0,6.0,3.0,1.5,0.9803921568627452,0.1833740831295843,4.388419033808906,1.389162595615011,1.93726988951332,3.4201217038687712,0.9185550819088296,2.2545536275454308,12057,Hillsborough County,Florida
12057011106,998,675,323,192,962,47325,259200,1566,737,162,306,0,48,0,14,37,-888888888,146,37,185,195,224,1307,1045,16,90,0,67.63527054108216,32.36472945891784,19.238476953907817,13.12625250501002,35,-637,13.177159590043924,27.428571408000003,9.142857136000002,5.0,1.6666666666666667,3.0,1.5,0.8680555555555556,0.4643962848297213,1.3544973534814817,1.2299877148674578,0.5979435687680088,1.2467732183006537,0.8458149778757593,0.8218763323148935,12057,Hillsborough County,Florida
12057012103,2750,1848,902,587,1135,41827,95700,1090,1527,751,605,0,327,0,29,116,-888888888,492,16,362,257,200,4474,2518,0,170,657,67.2,32.800000000000004,21.345454545454544,11.454545454545457,23,-1427,12.880414193711326,179.42406309999998,59.808021033333326,13.0,4.333333333333333,12.0,6.0,0.7382169222032936,0.6651884700665188,3.236364774531024,1.0460134024903491,1.4286949311079695,2.63414186310746,0.9324408819221112,1.7364335562153652,12057,Hillsborough County,Florida
12057012304,1770,686,1084,788,992,45185,169600,1289,1457,187,584,0,50,0,59,17,-888888888,207,12,345,126,489,2822,1807,0,110,0,38.75706214689266,61.24293785310735,44.51977401129943,16.72316384180791,28,-1357,11.664108748081562,24.984615398000003,8.328205132666668,22.0,7.333333333333333,6.0,2.0,0.9306260575296108,0.1845018450184501,1.2140240718172983,1.3186467278172949,0.5359315647290628,1.0625195702849388,0.5317616242329298,0.7004158211136676,12057,Hillsborough County,Florida
