census_tract_GEOID,eviction_rate,total_evictions,eviction_filings,foreclosure_sales,foreclosure_rate,lien_foreclosures,lien_foreclosure_rate,year
12057000401,0.51010101,19.89393939,39.0,4.0,0.9259259259259258,,,2017
12057010105,0.428571429,9.428571438,22.0,5.0,0.7656967840735069,0.0,0.0,2017
12057010203,0.5189873420000001,22.316455706000003,43.0,2.0,1.015228426395939,0.0,0.0,2017
12057010600,0.553333333,37.626666644,68.0,2.0,0.4158004158004158,,,2017
12057002300,0.540540541,3.2432432460000005,6.0,8.0,1.351351351351351,0.0,0.0,2017
12057004900,0.455445545,6.37623763,14.0,1.0,0.210970464135021,1.0,0.1579778830963665,2017
12057010402,0.570247934,69.000000014,121.0,4.0,0.6535947712418301,2.0,0.2444987775061124,2017
12057011106,0.571428571,7.999999993999999,14.0,1.0,0.5208333333333333,1.0,0.3095975232198142,2017
12057012103,0.540433925,57.826429975,107.0,4.0,0.6814310051107325,5.0,0.5543237250554324,2017
12057012304,0.430769231,11.200000006000002,26.0,9.0,1.1421319796954317,1.0,0.092250922509225,2017
12057013922,0.4516129029999999,3.161290321,7.0,4.0,0.3007518796992481,3.0,0.170261066969353,2017
12057013923,0.523809524,4.714285716,9.0,6.0,0.3325942350332594,6.0,0.2814258911819887,2017
12057014007,0.5476190479999999,13.6904762,25.0,6.0,0.6302521008403361,10.0,0.9319664492078285,2017
12057014008,0.0,0.0,0.0,2.0,0.3067484662576687,1.0,0.0589970501474926,2017
12057014009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
12057014010,0.75,0.75,1.0,3.0,0.592885375494071,1.0,0.0744047619047619,2017
12057014011,0.518092225,1.03618445,2.0,0.0,0.0,5.0,0.2513826043237808,2017
12057014012,0.0,0.0,0.0,0.0,0.0,3.0,0.1889168765743073,2017
12057014013,0.621621622,3.729729732,6.0,1.0,0.6896551724137931,,,2017
12057014014,0.0,0.0,0.0,2.0,0.7168458781362007,,,2017
12057014015,,,,1.0,0.2785515320334262,0.0,0.0,2017
12057014016,,,,0.0,0.0,,,2017
12057014117,0.375,3.0,8.0,8.0,1.08991825613079,1.0,0.0931966449207828,2017
12057014119,0.438596491,6.578947365,15.0,9.0,0.509915014164306,9.0,0.3959524857017157,2017
12057014121,0.416666667,5.000000004,12.0,7.0,0.6167400881057269,0.0,0.0,2017
12057014118,0.421052632,0.8421052640000001,2.0,1.0,0.0946073793755913,1.0,0.0585480093676815,2017
12057980300,,,,,,,,2017
12057014122,0.416666667,14.166666678000002,34.0,18.0,1.466992665036675,14.0,0.9907997169143666,2017
12057980100,,,,,,,,2017
12057980200,,,,,,,,2017
12057980400,,,,,,,,2017
12057000201,0.515991471,37.667377383,73.0,1.0,1.0309278350515465,5.0,3.067484662576687,2017
12057000202,0.574534161,42.515527914,74.0,9.0,1.7999999999999998,,,2017
12057000101,0.512280702,26.638596504,52.0,1.0,0.25,,,2017
12057000601,0.570397112,45.63176896,80.0,3.0,0.6976744186046512,0.0,0.0,2017
12057000602,0.466666667,5.133333337000001,11.0,2.0,0.8968609865470852,,,2017
12057000901,0.53875969,35.55813954,66.0,4.0,1.1494252873563218,0.0,0.0,2017
12057000902,0.539400666,72.27968924400001,134.0,4.0,1.6597510373443984,1.0,0.3105590062111801,2017
12057001001,0.469107551,37.997711631,81.0,2.0,1.8691588785046729,,,2017
12057005301,0.487804878,28.292682924,58.0,0.0,0.0,0.0,0.0,2017
12057006101,0.285714286,0.285714286,1.0,3.0,0.4580152671755725,1.0,0.0951474785918173,2017
12057001002,0.53125,33.46875,63.0,15.0,2.435064935064936,,,2017
12057005302,0.454545455,7.727272735,17.0,1.0,0.6896551724137931,1.0,0.3533568904593639,2017
12057005401,0.5625,2.8125,5.0,4.0,0.4246284501061571,2.0,0.1437814521926671,2017
12057006103,0.3,1.7999999999999998,6.0,5.0,0.8012820512820512,0.0,0.0,2017
12057006501,0.507936508,8.126984128,16.0,0.0,0.0,,,2017
12057006502,0.4576271189999999,2.288135595,5.0,0.0,0.0,4.0,1.1976047904191618,2017
12057007001,0.4227642279999999,10.5691057,25.0,4.0,0.6163328197226503,,,2017
12057001700,0.560747664,11.775700944,21.0,7.0,0.6698564593301436,,,2017
12057002200,0.5932203389999999,2.966101695,5.0,0.0,0.0,,,2017
12057003500,0.45959596,11.489899,25.0,4.0,1.7467248908296942,,,2017
12057003900,0.564102564,16.92307692,30.0,1.0,0.8771929824561403,3.0,1.282051282051282,2017
12057004400,0.487179487,13.153846149,27.0,0.0,0.0,,,2017
12057004500,0.559139785,10.06451613,18.0,6.0,1.0619469026548671,,,2017
12057004600,0.4112903229999999,12.750000013,31.0,9.0,3.169014084507042,1.0,0.1686340640809443,2017
12057004700,0.375,1.125,3.0,7.0,1.7587939698492463,,,2017
12057007200,0.5,13.0,26.0,9.0,1.0935601458080195,,,2017
12057010107,0.507042254,8.619718318,17.0,2.0,0.7633587786259541,,,2017
12057011005,0.473684211,1.421052633,3.0,4.0,0.64,0.0,0.0,2017
12057011008,0.453846154,14.069230774,31.0,4.0,0.5340453938584779,2.0,0.165837479270315,2017
12057011409,0.588235294,9.999999998,17.0,4.0,0.7797270955165692,1.0,0.099601593625498,2017
