CensusTract,County,CountyCode,ActiveSubsidies,TotalInconclusiveSubsidies,TotalInactiveSubsidies,TotalUnits,StudioOneBedroomUnits,TwoBedroomUnits,ThreePlusBedroomUnits,FairMarketRent_2BR,total-households,total-renter-occupied-households,total-owner-occupied-households,total-owner-occupied-households-mortgage,median-gross-rent,median-household-income,median-property-value,median-monthly-housing-cost,pct-white,pct-af-am,pct-hispanic,pct-am-indian,pct-asian,pct-nh-pi,pct-multiple,pct-other,pct-below-poverty-level,households-children,single-parent-household,older-adult-alone,level-of-education,immigrant-status,english-fluency,drive-to-work,public-transport-to-work,vacant-properties,live-in-mobile-home,pct-renter-occupied,pct-owner-occupied,pct-owner-occupied-mortgage,pct-owner-occupied-without-mortgage,median-house-age,pct-non-white,pct-without-health-insurance,total-evictions,avg-evictions,total-foreclosure-sales,avg-foreclosure-sales,total-lien-foreclosures,avg-lien-foreclosures,total-evictions-2017,eviction-filings-2017,eviction-rate-2017,total-evictions-2018,eviction-filings-2018,eviction-rate-2018,total-evictions-2019,eviction-filings-2019,eviction-rate-2019,foreclosure-sales-2017,foreclosure-sales-2018,foreclosure-sales-2019,lien-foreclosures-2017,lien-foreclosures-2018,lien-foreclosures-2019,avg-foreclosure-rate,foreclosure-rate-2017,foreclosure-rate-2018,foreclosure-rate-2019,avg-lien-foreclosure-rate,lien-foreclosure-rate-2017,lien-foreclosure-rate-2018,lien-foreclosure-rate-2019,avg-eviction-rate,ratio-to-mean-foreclosure-rate,ratio-to-mean-eviction-rate,avg-housing-loss-rate,evictions-pct-total-housing-loss,housing-loss-index
12057000102.0,Hillsborough,12057.0,8,0,1,55.57142857142857,69.5,5.6,0.0,1220.0,2484,1729,755,468,905,25963,128000,1186,1217,986,581,15,139,0,59,68,-888888888,172,56,621,275,387,3790,1939,37,111,0,69.60547504025764,30.394524959742352,18.84057971014493,11.553945249597424,44,-1117,12.285892245406416,148.36652544499998,49.45550848166666,13.0,4.333333333333333,6.0,3.0,44.332627125,75.0,0.591101695,35.4661017,60.0,0.591101695,68.56779662,116.0,0.591101695,9.0,1.0,3.0,5.0,1.0,0.0,0.9259259259259258,1.9230769230769231,0.2136752136752137,0.641025641025641,0.3973509933774834,0.6622516556291391,0.1324503311258278,0.0,2.8603532956429536,1.3119868958586214,1.262704466079613,2.448285926945835,0.9194380621126348,1.6139168122643954
12057000201.0,Hillsborough,12057.0,4,0,3,63.0,92.0,1.3333333333333333,0.0,1070.0,1448,1285,163,97,773,21601,127800,890,432,846,360,0,10,0,46,114,-888888888,11,70,395,142,184,2610,958,147,236,69,88.74309392265194,11.256906077348066,6.698895027624309,4.558011049723757,41,-332,24.67248908296943,138.801705699,46.267235233,4.0,1.3333333333333333,8.0,2.6666666666666665,37.667377383,73.0,0.515991471,45.407249448,88.0,0.515991471,55.727078868,108.0,0.515991471,1.0,1.0,2.0,5.0,2.0,1.0,1.3745704467353952,1.0309278350515465,1.0309278350515465,2.061855670103093,1.6359918200408996,3.067484662576687,1.2269938650306749,0.6134969325153374,3.6005630531517507,1.9476918866354795,1.5894704526679828,3.4443247877231067,0.9719891300988288,2.270508366945451
12057000901.0,Hillsborough,12057.0,1,0,0,96.0,72.0,24.0,0.0,1220.0,1069,612,457,348,1058,36023,90500,969,499,447,249,0,57,0,18,48,-888888888,132,30,204,222,285,1704,1002,23,80,7,57.24976613657624,42.75023386342376,32.55378858746492,10.19644527595884,38,-399,20.59447983014862,100.74806203,33.58268734333333,12.0,4.0,4.0,2.0,35.55813954,66.0,0.53875969,23.70542636,44.0,0.53875969,41.48449613,77.0,0.53875969,4.0,4.0,4.0,0.0,2.0,2.0,1.1494252873563218,1.1494252873563218,1.1494252873563218,1.1494252873563218,0.437636761487965,0.0,0.437636761487965,0.437636761487965,5.487367212962964,1.6286733879624269,2.422401140929579,3.914863264930556,0.8935680154146948,2.58068862441633
12057000902.0,Hillsborough,12057.0,2,0,1,142.0,222.0,31.0,0.0,1220.0,2362,2040,322,241,878,31004,170000,1176,1026,1209,655,0,30,0,97,0,-888888888,98,102,719,217,206,2995,2229,22,287,0,86.36748518204911,13.632514817950888,10.203217612193056,3.429297205757832,37,-926,23.12319002004901,209.287458408,69.762486136,10.0,3.333333333333333,3.0,1.5,72.27968924400001,134.0,0.539400666,52.861265268,98.0,0.539400666,84.146503896,156.0,0.539400666,4.0,4.0,2.0,1.0,0.0,2.0,1.3831258644536657,1.6597510373443984,1.6597510373443984,0.8298755186721992,0.4658385093167702,0.3105590062111801,0.0,0.6211180124223602,3.41972971254902,1.959814450245244,1.5096414793929045,3.20455148922987,0.9543977568411858,2.112449149551238
12057001200.0,Hillsborough,12057.0,5,0,0,250.0,106.0,60.0,84.0,1160.0,1122,537,585,308,771,33015,166700,1049,731,290,376,0,68,0,10,23,-888888888,113,76,219,230,374,1379,934,0,197,0,47.860962566844925,52.13903743315508,27.450980392156865,24.688057040998217,53,-631,17.97485558953449,37.714285752,12.571428583999998,11.0,3.6666666666666665,1.0,1.0,10.714285725,25.0,0.428571429,9.857142867,23.0,0.428571429,17.14285716,40.0,0.428571429,4.0,2.0,5.0,0.0,0.0,1.0,1.1904761904761905,1.2987012987012987,0.6493506493506493,1.6233766233766231,0.1709401709401709,0.0,0.0,0.1709401709401709,2.341048153445065,1.6868402946753709,1.03345693805214,1.921668077001972,0.7741935485619147,1.2667688781490465
12057001800.0,Hillsborough,12057.0,9,0,1,85.0,35.333333333333336,62.0,30.75,1110.0,1644,1025,619,323,1007,31356,92400,1032,234,1358,205,0,7,0,29,16,-888888888,165,81,353,268,134,3732,970,88,236,131,62.347931873479325,37.65206812652068,19.64720194647202,18.004866180048662,48,-134,15.245158632056036,135.65406972,45.21802324,21.0,7.0,1.0,1.0,39.366279056,74.0,0.531976744,47.34593021599999,89.0,0.531976744,48.94186044799999,92.0,0.531976744,6.0,10.0,5.0,1.0,0.0,0.0,2.1671826625387,1.8575851393188851,3.095975232198142,1.547987616099071,0.1615508885298869,0.1615508885298869,0.0,0.0,4.411514462439024,3.070780474517393,1.9474653786235967,3.873740596439169,0.8659466681106024,2.5535804483193423
12057002300.0,Hillsborough,12057.0,2,0,0,61.5,104.0,16.0,0.0,1190.0,1419,599,820,592,1138,62636,212600,1400,1159,184,179,0,11,0,36,29,-888888888,213,46,223,209,159,2794,1450,30,124,34,42.21282593375616,57.78717406624383,41.71952078928823,16.0676532769556,72,-1059,10.792476102374344,17.297297312,5.765765770666667,13.0,4.333333333333333,1.0,1.0,3.2432432460000005,6.0,0.540540541,4.324324328,8.0,0.540540541,9.729729738,18.0,0.540540541,8.0,2.0,3.0,0.0,1.0,0.0,0.7319819819819819,1.351351351351351,0.3378378378378378,0.5067567567567568,0.1219512195121951,0.0,0.1219512195121951,0.0,0.9625652371730664,1.0371788298341804,0.424924929980793,0.8479512261964737,0.5709188226881536,0.5589717789400073
12057002500.0,Hillsborough,12057.0,8,0,0,120.75,88.0,29.5,0.0,1270.0,2945,2197,748,468,929,32313,162100,1176,2364,405,1995,0,34,0,14,128,-888888888,239,173,583,327,1535,1800,2525,143,358,0,74.60101867572156,25.398981324278434,15.891341256366722,9.507640067911714,38,-2264,19.575066395875645,145.838297936,48.612765978666665,6.0,2.0,1.0,1.0,48.791489383,91.0,0.536170213,50.400000022,94.0,0.536170213,46.646808531,87.0,0.536170213,2.0,2.0,2.0,1.0,0.0,0.0,0.4273504273504274,0.4273504273504274,0.4273504273504274,0.4273504273504274,0.1336898395721925,0.1336898395721925,0.0,0.0,2.2126884833257474,0.60553241347321,0.9767924941979288,1.899165702764228,0.9604842778036868,1.2519352512027586
12057002700.0,Hillsborough,12057.0,2,0,1,84.0,84.0,0.0,0.0,1500.0,2922,1109,1813,774,1058,32453,196900,1391,2482,122,1936,17,59,19,107,116,-888888888,334,195,589,237,1057,2686,2851,14,170,0,37.95345653661875,62.04654346338124,26.48870636550308,35.55783709787816,55,-2382,23.29629133752845,47.821428542,15.940476180666666,16.0,5.333333333333333,2.0,1.0,11.60714285,25.0,0.4642857139999999,13.92857142,30.0,0.4642857139999999,22.285714272,48.0,0.4642857139999999,5.0,4.0,7.0,0.0,1.0,1.0,0.6890611541774333,0.6459948320413437,0.516795865633075,0.9043927648578812,0.0551571980143408,0.0,0.0551571980143408,0.0551571980143408,1.4373738666065523,0.9763623411040906,0.6345294490561323,1.1297827676048855,0.7493005035217815,0.7447559056628369
12057003900.0,Hillsborough,12057.0,2,1,5,121.0,68.33333333333333,5.666666666666667,2.3333333333333335,1040.0,1286,1052,234,114,1012,29615,165500,1636,712,453,313,0,17,0,45,59,-888888888,20,98,249,65,150,1481,752,12,249,0,81.80404354587868,18.195956454121305,8.864696734059098,9.331259720062208,32,-612,17.05426356589147,56.41025640000001,18.803418800000003,3.0,1.0,7.0,2.333333333333333,16.92307692,30.0,0.564102564,18.051282048,32.0,0.564102564,21.435897432,38.0,0.564102564,1.0,1.0,1.0,3.0,3.0,1.0,0.8771929824561403,0.8771929824561403,0.8771929824561403,0.8771929824561403,0.9971509971509972,1.282051282051282,1.282051282051282,0.4273504273504274,1.7873972243346012,1.2429349539713257,0.7890474443361668,1.69840641509434,0.9495036685281836,1.1195941769750244
