,variable_code,label_14,concept_14,predicateType_14,group_14,limit_14,predicateOnly_14,acs_year_14,label_19,concept_19,predicateType_19,group_19,limit_19,predicateOnly_19,acs_year_19,datasets,concept_match,predicateType_match,predicateOnly_match,label_match
0,DP02_0019EA,"['ANNOTATION OF ESTIMATE', 'RELATIONSHIP', 'POPULATION IN HOUSEHOLDS', 'SPOUSE']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2014.0,"['ANNOTATION OF ESTIMATE', 'RELATIONSHIP', 'POPULATION IN HOUSEHOLDS', 'HOUSEHOLDER']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2019.0,,True,True,True,False
1,DP02_0126E,"['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'DANISH']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,int,DP02,0.0,True,2014.0,"['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'CZECH']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,int,DP02,0.0,True,2019.0,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19",True,True,True,False
2,DP02_0072EA,"['ANNOTATION OF ESTIMATE', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'UNDER 18 YEARS']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2014.0,"['ANNOTATION OF ESTIMATE', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION', 'WITH A DISABILITY']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2019.0,,True,True,True,False
3,DP02_0069PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'CIVILIAN VETERANS']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2014.0,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2019.0,,True,True,True,False
4,DP02_0126M,"['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'DANISH']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,int,DP02,0.0,True,2014.0,"['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'CZECH']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,int,DP02,0.0,True,2019.0,,True,True,True,False
5,DP02_0057PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'COLLEGE OR GRADUATE SCHOOL']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2014.0,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'HIGH SCHOOL (GRADES 9-12)']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2019.0,,True,True,True,False
6,DP02_0125M,"['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'CZECH']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,int,DP02,0.0,True,2014.0,"['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'ARAB']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,int,DP02,0.0,True,2019.0,,True,True,True,False
7,DP02_0054PM,"['PERCENT MARGIN OF ERROR', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'KINDERGARTEN']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,float,DP02,0.0,True,2014.0,"['PERCENT MARGIN OF ERROR', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'NURSERY SCHOOL, PRESCHOOL']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,float,DP02,0.0,True,2019.0,,True,True,True,False
8,DP02_0041MA,"['ANNOTATION OF MARGIN OF ERROR', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'PER 1,000 WOMEN 20 TO 34 YEARS OLD']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2014.0,"['ANNOTATION OF MARGIN OF ERROR', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'PER 1,000 WOMEN 15 TO 19 YEARS OLD']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2019.0,,True,True,True,False
9,DP02_0070PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2014.0,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'CIVILIAN VETERANS']",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,string,DP02,0.0,True,2019.0,,True,True,True,False
