,variable_code,label,concept,predicateType,group,limit,attributes,predicateOnly
0,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for,N/A,0,,True
1,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in,N/A,0,,True
2,ucgid,Uniform Census Geography Identifier clause,Census API Geography Specification,ucgid,N/A,0,,True
3,S0804_C04_068E,Public transportation (excluding taxicab)!!Estimate!!Workers 16 years and over who did not work at home!!TIME ARRIVING AT WORK FROM HOME!!5:00 a.m. to 5:29 a.m.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,0,"S0804_C04_068EA,S0804_C04_068M,S0804_C04_068MA",
4,S0503_C02_078E,Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Retail trade,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,0,"S0503_C02_078EA,S0503_C02_078M,S0503_C02_078MA",
5,S0701PR_C01_028E,Total!!Estimate!!MARITAL STATUS!!Population 15 years and over,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C01_028EA,S0701PR_C01_028M,S0701PR_C01_028MA",
6,S0804_C04_067E,Public transportation (excluding taxicab)!!Estimate!!Workers 16 years and over who did not work at home!!TIME ARRIVING AT WORK FROM HOME!!12:00 a.m. to 4:59 a.m.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,0,"S0804_C04_067EA,S0804_C04_067M,S0804_C04_067MA",
7,S0503_C02_077E,Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Wholesale trade,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,0,"S0503_C02_077EA,S0503_C02_077M,S0503_C02_077MA",
8,S0701PR_C01_029E,Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Never married,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C01_029EA,S0701PR_C01_029M,S0701PR_C01_029MA",
9,S0503_C02_076E,Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Manufacturing,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,0,"S0503_C02_076EA,S0503_C02_076M,S0503_C02_076MA",
10,S0506_C01_120E,Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Married-couple family!!With related children under 5 years only,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C01_120EA,S0506_C01_120M,S0506_C01_120MA",
11,S0804_C04_069E,Public transportation (excluding taxicab)!!Estimate!!Workers 16 years and over who did not work at home!!TIME ARRIVING AT WORK FROM HOME!!5:30 a.m. to 5:59 a.m.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,0,"S0804_C04_069EA,S0804_C04_069M,S0804_C04_069MA",
12,S0503_C02_075E,Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Construction,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,0,"S0503_C02_075EA,S0503_C02_075M,S0503_C02_075MA",
13,S0506_C01_121E,"Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no husband present, family",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C01_121EA,S0506_C01_121M,S0506_C01_121MA",
14,S0804_C04_064E,Public transportation (excluding taxicab)!!Estimate!!CLASS OF WORKER!!Self-employed workers in own not incorporated business,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,0,"S0804_C04_064EA,S0804_C04_064M,S0804_C04_064MA",
15,S0503_C02_074E,"Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,0,"S0503_C02_074EA,S0503_C02_074M,S0503_C02_074MA",
16,S0506_C01_122E,"Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no husband present, family!!With related children under 18 years",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C01_122EA,S0506_C01_122M,S0506_C01_122MA",
17,S0506_C01_123E,"Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no husband present, family!!With related children under 5 years only",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C01_123EA,S0506_C01_123M,S0506_C01_123MA",
18,S0503_C02_073E,"Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Production, transportation, and material moving occupations",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,0,"S0503_C02_073EA,S0503_C02_073M,S0503_C02_073MA",
19,S0804_C04_063E,Public transportation (excluding taxicab)!!Estimate!!CLASS OF WORKER!!Government workers,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,0,"S0804_C04_063EA,S0804_C04_063M,S0804_C04_063MA",
20,S0506_C01_124E,Total!!Estimate!!Occupied housing units,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,int,S0506,0,"S0506_C01_124EA,S0506_C01_124M,S0506_C01_124MA",
