,variable_code,datasets
0,S1701_C01_001E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
1,S1701_C01_002E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
2,S1701_C01_003E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
3,S1701_C01_004E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
4,S1701_C01_005E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
5,S1701_C01_006E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
6,S1701_C01_007E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
7,S1701_C01_008E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
8,S1701_C01_009E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
9,S1701_C01_010E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
10,S1701_C01_011E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
11,S1701_C01_012E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
12,S1701_C01_013E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
13,S1701_C01_014E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
14,S1701_C01_015E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
15,S1701_C01_016E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
16,S1701_C01_017E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
17,S1701_C01_018E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
18,S1701_C01_019E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
19,S1701_C01_020E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
20,S1701_C01_021E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
21,S1701_C01_022E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
22,S1701_C01_023E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
23,S1701_C01_024E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
24,S1701_C01_025E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
25,S1701_C01_026E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
26,S1701_C01_027E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
27,S1701_C01_028E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
28,S1701_C01_029E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
29,S1701_C01_030E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
30,S1701_C01_031E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
31,S1701_C01_032E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
32,S1701_C01_033E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
33,S1701_C01_034E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
34,S1701_C01_035E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
35,S1701_C01_036E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
36,S1701_C01_037E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
37,S1701_C01_038E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
38,S1701_C01_039E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
39,S1701_C01_040E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
40,S1701_C01_041E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
41,S1701_C01_042E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
42,S1701_C01_043E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
43,S1701_C01_044E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
44,S1701_C01_045E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
45,S1701_C01_046E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
46,S2502_C01_001E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
47,S2502_C01_002E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
48,S2502_C01_003E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
49,S2502_C01_004E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
50,S2502_C01_005E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
51,S2502_C01_006E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
52,S2502_C01_007E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
53,S2502_C01_008E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
54,S2502_C01_009E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
55,S2502_C01_010E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
56,S2502_C01_011E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
57,S2502_C01_012E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
58,S2502_C01_013E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
59,S2502_C01_014E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
60,S2502_C01_015E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
61,S2502_C01_016E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
62,S2502_C01_017E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
63,S2502_C01_018E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
64,S2502_C01_019E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
65,S2502_C01_020E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
66,S2502_C01_021E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
67,S2502_C01_022E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
