,variable_code,label,concept,predicateType,group,attributes
0,S0804_C04_068E,PUBLIC TRANSPORTATION (EXCLUDING TAXICAB)!!ESTIMATE!!WORKERS 16 YEARS AND OVER WHO DID NOT WORK AT HOME!!TIME ARRIVING AT WORK FROM HOME!!5:00 A.M. TO 5:29 A.M.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,"S0804_C04_068EA,S0804_C04_068M,S0804_C04_068MA"
1,S0503_C02_078E,FOREIGN BORN; BORN IN EUROPE!!ESTIMATE!!INDUSTRY!!RETAIL TRADE,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,"S0503_C02_078EA,S0503_C02_078M,S0503_C02_078MA"
2,S0701PR_C01_028E,TOTAL!!ESTIMATE!!MARITAL STATUS!!POPULATION 15 YEARS AND OVER,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,"S0701PR_C01_028EA,S0701PR_C01_028M,S0701PR_C01_028MA"
3,S0804_C04_067E,PUBLIC TRANSPORTATION (EXCLUDING TAXICAB)!!ESTIMATE!!WORKERS 16 YEARS AND OVER WHO DID NOT WORK AT HOME!!TIME ARRIVING AT WORK FROM HOME!!12:00 A.M. TO 4:59 A.M.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,"S0804_C04_067EA,S0804_C04_067M,S0804_C04_067MA"
4,S0503_C02_077E,FOREIGN BORN; BORN IN EUROPE!!ESTIMATE!!INDUSTRY!!WHOLESALE TRADE,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,"S0503_C02_077EA,S0503_C02_077M,S0503_C02_077MA"
5,S0701PR_C01_029E,TOTAL!!ESTIMATE!!MARITAL STATUS!!POPULATION 15 YEARS AND OVER!!NEVER MARRIED,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,"S0701PR_C01_029EA,S0701PR_C01_029M,S0701PR_C01_029MA"
6,S0503_C02_076E,FOREIGN BORN; BORN IN EUROPE!!ESTIMATE!!INDUSTRY!!MANUFACTURING,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,"S0503_C02_076EA,S0503_C02_076M,S0503_C02_076MA"
7,S0506_C01_120E,TOTAL!!ESTIMATE!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!MARRIED-COUPLE FAMILY!!WITH RELATED CHILDREN UNDER 5 YEARS ONLY,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C01_120EA,S0506_C01_120M,S0506_C01_120MA"
8,S0804_C04_069E,PUBLIC TRANSPORTATION (EXCLUDING TAXICAB)!!ESTIMATE!!WORKERS 16 YEARS AND OVER WHO DID NOT WORK AT HOME!!TIME ARRIVING AT WORK FROM HOME!!5:30 A.M. TO 5:59 A.M.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,"S0804_C04_069EA,S0804_C04_069M,S0804_C04_069MA"
9,S0503_C02_075E,FOREIGN BORN; BORN IN EUROPE!!ESTIMATE!!INDUSTRY!!CONSTRUCTION,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,"S0503_C02_075EA,S0503_C02_075M,S0503_C02_075MA"
10,S0506_C01_121E,"TOTAL!!ESTIMATE!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!FEMALE HOUSEHOLDER, NO HUSBAND PRESENT, FAMILY",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C01_121EA,S0506_C01_121M,S0506_C01_121MA"
11,S0804_C04_064E,PUBLIC TRANSPORTATION (EXCLUDING TAXICAB)!!ESTIMATE!!CLASS OF WORKER!!SELF-EMPLOYED WORKERS IN OWN NOT INCORPORATED BUSINESS,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,"S0804_C04_064EA,S0804_C04_064M,S0804_C04_064MA"
12,S0503_C02_074E,"FOREIGN BORN; BORN IN EUROPE!!ESTIMATE!!INDUSTRY!!AGRICULTURE, FORESTRY, FISHING AND HUNTING, AND MINING",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,"S0503_C02_074EA,S0503_C02_074M,S0503_C02_074MA"
13,S0506_C01_122E,"TOTAL!!ESTIMATE!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!FEMALE HOUSEHOLDER, NO HUSBAND PRESENT, FAMILY!!WITH RELATED CHILDREN UNDER 18 YEARS",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C01_122EA,S0506_C01_122M,S0506_C01_122MA"
14,S0506_C01_123E,"TOTAL!!ESTIMATE!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!FEMALE HOUSEHOLDER, NO HUSBAND PRESENT, FAMILY!!WITH RELATED CHILDREN UNDER 5 YEARS ONLY",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C01_123EA,S0506_C01_123M,S0506_C01_123MA"
15,S0503_C02_073E,"FOREIGN BORN; BORN IN EUROPE!!ESTIMATE!!OCCUPATION!!PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,float,S0503,"S0503_C02_073EA,S0503_C02_073M,S0503_C02_073MA"
16,S0804_C04_063E,PUBLIC TRANSPORTATION (EXCLUDING TAXICAB)!!ESTIMATE!!CLASS OF WORKER!!GOVERNMENT WORKERS,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,"S0804_C04_063EA,S0804_C04_063M,S0804_C04_063MA"
17,S0506_C01_124E,TOTAL!!ESTIMATE!!OCCUPIED HOUSING UNITS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,int,S0506,"S0506_C01_124EA,S0506_C01_124M,S0506_C01_124MA"
