,variable_code,label_14,label_19,label_same,label_14_diff,label_19_diff
0,DP02_0019EA,"['ANNOTATION OF ESTIMATE', 'RELATIONSHIP', 'POPULATION IN HOUSEHOLDS', 'SPOUSE']","['ANNOTATION OF ESTIMATE', 'RELATIONSHIP', 'POPULATION IN HOUSEHOLDS', 'HOUSEHOLDER']","['RELATIONSHIP', 'ANNOTATION OF ESTIMATE', 'POPULATION IN HOUSEHOLDS']",['SPOUSE'],['HOUSEHOLDER']
1,DP02_0126E,"['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'DANISH']","['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'CZECH']","['ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION']",['DANISH'],['CZECH']
2,DP02_0072EA,"['ANNOTATION OF ESTIMATE', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'UNDER 18 YEARS']","['ANNOTATION OF ESTIMATE', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION', 'WITH A DISABILITY']","['DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'ANNOTATION OF ESTIMATE']",['UNDER 18 YEARS'],"['TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION', 'WITH A DISABILITY']"
3,DP02_0069PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'CIVILIAN VETERANS']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER']","['VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'ANNOTATION OF PERCENT MARGIN OF ERROR']",['CIVILIAN VETERANS'],[]
4,DP02_0126M,"['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'DANISH']","['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'CZECH']","['ANCESTRY', 'TOTAL POPULATION', 'MARGIN OF ERROR']",['DANISH'],['CZECH']
5,DP02_0057PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'COLLEGE OR GRADUATE SCHOOL']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'HIGH SCHOOL (GRADES 9-12)']","['SCHOOL ENROLLMENT', 'ANNOTATION OF PERCENT MARGIN OF ERROR', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL']",['COLLEGE OR GRADUATE SCHOOL'],['HIGH SCHOOL (GRADES 9-12)']
6,DP02_0125M,"['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'CZECH']","['MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'ARAB']","['ANCESTRY', 'TOTAL POPULATION', 'MARGIN OF ERROR']",['CZECH'],['ARAB']
7,DP02_0054PM,"['PERCENT MARGIN OF ERROR', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'KINDERGARTEN']","['PERCENT MARGIN OF ERROR', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'NURSERY SCHOOL, PRESCHOOL']","['PERCENT MARGIN OF ERROR', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL']",['KINDERGARTEN'],"['NURSERY SCHOOL, PRESCHOOL']"
8,DP02_0041MA,"['ANNOTATION OF MARGIN OF ERROR', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'PER 1,000 WOMEN 20 TO 34 YEARS OLD']","['ANNOTATION OF MARGIN OF ERROR', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'PER 1,000 WOMEN 15 TO 19 YEARS OLD']","['FERTILITY', 'ANNOTATION OF MARGIN OF ERROR', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS']","['PER 1,000 WOMEN 20 TO 34 YEARS OLD']","['PER 1,000 WOMEN 15 TO 19 YEARS OLD']"
9,DP02_0070PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'CIVILIAN VETERANS']",['ANNOTATION OF PERCENT MARGIN OF ERROR'],"['DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION']","['VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'CIVILIAN VETERANS']"
